GanaJ1 (1/0)	minDistMetaJ1	minDistMetaJ2	turnosCampoJ1	turnosCampoJ2	turnos totales	evaluación (600*gana+40*minDistMetaJ1-40*minDistMetaJ2+2*porcentajeCampoJ2-5*turnosTotales si gana y +5*turnosTotales si pierde)	evaluación-2^(tM-2s)
0.0	0.0	7.0	17.0	5.0	22.0	-124.54545454545456	-124.54545454545456
0.0	0.0	7.0	16.0	6.0	22.0	-115.45454545454547	-115.45454545454547
0.0	0.0	7.0	10.0	4.0	14.0	-152.85714285714286	-156.16065351688573
0.0	0.0	7.0	11.0	5.0	16.0	-137.5	-140.02100678316597


0.0	0.0	8.0	22.0	4.0	26.0	-159.23076923076923	-159.23076923076923
0.0	0.0	7.0	18.0	4.0	22.0	-133.63636363636363	-133.63636363636363
0.0	0.0	10.0	22.0	0.0	22.0	-290.0	-290.0
0.0	0.0	8.0	19.0	3.0	22.0	-182.72727272727275	-182.72727272727275
0.0	0.0	8.0	14.0	2.0	16.0	-215.0	-215.0
0.0	0.0	8.0	22.0	2.0	24.0	-183.33333333333331	-183.33333333333331
0.0	0.0	8.0	28.0	2.0	30.0	-156.66666666666669	-156.66666666666669
0.0	0.0	8.0	19.0	1.0	20.0	-210.0	-211.61328351844426


0.0	0.0	8.0	20.0	2.0	22.0	-191.8181818181818	-191.8181818181818
0.0	0.0	7.0	8.0	3.0	11.0	-170.45454545454547	-171.93188351812802
0.0	0.0	8.0	15.0	1.0	16.0	-227.5	-227.5
0.0	0.0	8.0	11.0	3.0	14.0	-207.14285714285717	-207.14285714285717
0.0	0.0	8.0	12.0	2.0	14.0	-221.42857142857144	-221.42857142857144
0.0	0.0	8.0	10.0	2.0	12.0	-226.66666666666669	-228.41987810929876
0.0	0.0	7.0	9.0	5.0	14.0	-138.57142857142856	-141.90484140006544
0.0	0.0	6.0	9.0	7.0	16.0	-72.5	-75.58656035011786

